SKU,Type,Name,Description,Categories,Images,Regular price,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
ABUN0005,variation,Ab Unicanal - 1 1/2 pulg,"Ab Unicanal 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,12.2,id:ABUN0001-BASE,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUN0007,variation,Ab Unicanal - 2 1/2 pulg,"Ab Unicanal 2 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,36.38,id:ABUN0001-BASE,Medida,2 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUN0003,simple,"Ab Unicanal 1""","Ab Unicanal 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,10.32,,,,,,,,,,,,,
ABUN0006,simple,"Ab Unicanal 2""","Ab Unicanal 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,16.58,,,,,,,,,,,,,
ABUN0008,simple,"Ab Unicanal 3""","Ab Unicanal 3"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,40.38,,,,,,,,,,,,,
ABUN0009,simple,"Ab Unicanal 4""","Ab Unicanal 4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,48.23,,,,,,,,,,,,,
ABUÃ0001-BASE,variable,Ab Uãa,"Ab Uãa 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/4 pulg, 1 1/2 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABUÃ0001,variation,Ab Uãa - 1/2 pulg,"Ab Uãa 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,1.87,id:ABUÃ0001-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÃ0002,variation,Ab Uãa - 3/4 pulg,"Ab Uãa 3/4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,4.14,id:ABUÃ0001-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÃ0004,variation,Ab Uãa - 1 1/4 pulg,"Ab Uãa 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,7.74,id:ABUÃ0001-BASE,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÃ0005,variation,Ab Uãa - 1 1/2 pulg,"Ab Uãa 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,9.03,id:ABUÃ0001-BASE,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÃ0003,simple,"Ab Uãa 1""","Ab Uãa 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,4.45,,,,,,,,,,,,,
ABUÃ0006,simple,"Ab Uãa 2""","Ab Uãa 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,17.42,,,,,,,,,,,,,
ABUÃ0008,simple,"Ab Uãa 3""","Ab Uãa 3"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,50.63,,,,,,,,,,,,,
ABUÃ0009,simple,Ab Uãa 4,"Ab Uãa 4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,62.89,,,,,,,,,,,,,
ABUÑ0005-BASE,variable,Ab Uña,"Ab Uña 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,,,Medida,"1 1/2 pulg, 1 1/4 pulg, 1/2 pulg, 3/4 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABUÑ0005,variation,Ab Uña - 1 1/2 pulg,"Ab Uña 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,9.03,id:ABUÑ0005-BASE,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÑ0004,variation,Ab Uña - 1 1/4 pulg,"Ab Uña 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,7.74,id:ABUÑ0005-BASE,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÑ0001,variation,Ab Uña - 1/2 pulg,"Ab Uña 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,1.87,id:ABUÑ0005-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÑ0002,variation,Ab Uña - 3/4 pulg,"Ab Uña 3/4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,4.14,id:ABUÑ0005-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABUÑ0003,simple,"Ab Uña 1""","Ab Uña 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,4.45,,,,,,,,,,,,,
ABUÑ0006,simple,"Ab Uña 2""","Ab Uña 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,17.42,,,,,,,,,,,,,
ABUÑ0008,simple,"Ab Uña 3""","Ab Uña 3"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,50.63,,,,,,,,,,,,,
ABUÑ0009,simple,Ab Uña 4,"Ab Uña 4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",Varios,,62.89,,,,,,,,,,,,,
ABCL0002-BASE,variable,Abrazadera Clip,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,,,Medida,"3/4 pulg, 1 1/4 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABCL0002,variation,Abrazadera Clip - 3/4 pulg,"Abrazadera Clip 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,7.03,id:ABCL0002-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABCL0004,variation,Abrazadera Clip - 1 1/4 pulg,"Abrazadera Clip 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,13.42,id:ABCL0002-BASE,Medida,1 1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABCL0003,simple,Abrazadera Clip 1,"Abrazadera Clip 1. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,8.58,,,,,,,,,,,,,
ABCL0001,simple,"Abrazadera Clip 1/2""â¨","Abrazadera Clip 1/2""â¨. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,6.51,,,,,,,,,,,,,
ABPA0002,simple,"Abrazadera Pata Cabra 3/4"" Pct-34","Abrazadera Pata Cabra 3/4"" Pct-34. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,34.1,,,,,,,,,,,,,
46795-BASE,variable,"Abrazadera Ppr,â , Tipo U, Foset","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,,,Medida,"1/2 pulg, 3/4 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
46795,variation,"Abrazadera Ppr,â , Tipo U, Foset - 1/2 pulg","Abrazadera Ppr,â 1/2"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,1.38,id:46795-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
46796,variation,"Abrazadera Ppr,â , Tipo U, Foset - 3/4 pulg","Abrazadera Ppr,â 3/4"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,2.07,id:46795-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
46797,simple,"Abrazadera Ppr,â 1"", Tipo U, Foset","Abrazadera Ppr,â 1"", Tipo U, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,2.07,,,,,,,,,,,,,
ABPE0001-BASE,variable,Abrazadera Tipo Pera,"Abrazadera Tipo Pera 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,,,Medida,"1/2 pulg, 3/4 pulg, 1 1/2 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0001,variation,Abrazadera Tipo Pera - 1/2 pulg,"Abrazadera Tipo Pera 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,7.61,id:ABPE0001-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0002,variation,Abrazadera Tipo Pera - 3/4 pulg,"Abrazadera Tipo Pera 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,8.32,id:ABPE0001-BASE,Medida,3/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0005,variation,Abrazadera Tipo Pera - 1 1/2 pulg,"Abrazadera Tipo Pera 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,9.93,id:ABPE0001-BASE,Medida,1 1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ABPE0003,simple,"Abrazadera Tipo Pera 1""","Abrazadera Tipo Pera 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,9.35,,,,,,,,,,,,,
ABPE0006,simple,"Abrazadera Tipo Pera 2""","Abrazadera Tipo Pera 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,11.61,,,,,,,,,,,,,
ABUR0005,simple,"Abrazadera U 1/4"" P/tubo de 1 1/2""","Abrazadera U 1/4"" P/tubo de 1 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,6.9,,,,,,,,,,,,,
ABUR0004,simple,"Abrazadera U 1/4"" P/tubo de 1 1/4""","Abrazadera U 1/4"" P/tubo de 1 1/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,27.86,,,,,,,,,,,,,
ABUR0003,simple,"Abrazadera U 1/4"" P/tubo de 1""","Abrazadera U 1/4"" P/tubo de 1"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,10.97,,,,,,,,,,,,,
ABUR0001,simple,"Abrazadera U 1/4"" P/tubo de 1/2""","Abrazadera U 1/4"" P/tubo de 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,8.84,,,,,,,,,,,,,
ABUR0006,simple,"Abrazadera U 1/4"" P/tubo de 2""","Abrazadera U 1/4"" P/tubo de 2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,33.09,,,,,,,,,,,,,
ABUR0008,simple,"Abrazadera U 1/4"" P/tubo de 3""","Abrazadera U 1/4"" P/tubo de 3"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,67.4,,,,,,,,,,,,,
ABUR0002,simple,"Abrazadera U 1/4"" P/tubo de 3/4""","Abrazadera U 1/4"" P/tubo de 3/4"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,9.55,,,,,,,,,,,,,
ABUR0009,simple,"Abrazadera U Roscada 1/4"" X 4 X 1/2""","Abrazadera U Roscada 1/4"" X 4 X 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,6.45,,,,,,,,,,,,,
ACRI0002,simple,Acrilico Panel de Abeja 61x1.22 D-15 Grueso,"Acrilico Panel de Abeja 61x1.22 D-15 Grueso. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Control y protección,,223.08,,,,,,,,,,,,,
45429,simple,"Adaptador Macho de Pvc de 1/2"", Foset","Adaptador Macho de Pvc de 1/2"", Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Hidráulico,,2.76,,,,,,,,,,,,,
ADAP0001,simple,Adaptador P/riel Dim P/xlp000 1sep407740r0001,"Adaptador P/riel Dim P/xlp000 1sep407740r0001. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Accesorios eléctricos,,213.0,,,,,,,,,,,,,
49880,simple,"Adaptador Ppr 3/4"" Macho con Inserto Metã¡lico, Foset","Adaptador Ppr 3/4"" Macho con Inserto Metã¡lico, Foset. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Hidráulico,,53.45,,,,,,,,,,,,,
5253,simple,"Adaptador para Matraca de Cuadro 3/8"" a Cuadro 1/2"", Truper","Adaptador para Matraca de Cuadro 3/8"" a Cuadro 1/2"", Truper. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Manuales,,58.0,,,,,,,,,,,,,
5254,simple,"Adaptador para Matraca de Cuadro 1/2"" a Cuadro 3/8"", Truper","Adaptador para Matraca de Cuadro 1/2"" a Cuadro 3/8"", Truper. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Manuales,,78.0,,,,,,,,,,,,,
1030181,simple,Adhesivo Mont Clavos 140g,"Adhesivo Mont Clavos 140g. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,58.19,,,,,,,,,,,,,
102281,simple,"Adhesivo de Montaje Adiós Clavos, 140 G, Truper","Adhesivo de Montaje Adiós Clavos, 140 G, Truper. Herramienta y material de ferretería de alta calidad, fabricado para garantizar máxima durabilidad y resistencia en proyectos exigentes y profesionales.",FERRETERIA,,56.03,,,,,,,,,,,,,
AISL0024,simple,Aislador 13pd,"Aislador 13pd. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,434.63,,,,,,,,,,,,,
AIMA0001,simple,"Aislador Manzana Epoxico 3/8"" 600v Tipo Barril","Aislador Manzana Epoxico 3/8"" 600v Tipo Barril. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,122.85,,,,,,,,,,,,,
ARM0001,simple,Alambre Armoflex 2x14 + Tierra(76.2m),"Alambre Armoflex 2x14 + Tierra(76.2m). Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Cableado,,78.92,,,,,,,,,,,,,
HC01,simple,Angulo Unicanal,"Angulo Unicanal. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Canalización,,32.57,,,,,,,,,,,,,
LEVI0031,simple,"Apagador Decora Doble 15a, 120/277v 5634w","Apagador Decora Doble 15a, 120/277v 5634w. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,234.27,,Marca,LEVITON,1.0,1.0,,,,,,,,
LEVI0028,simple,"Apagador Decora Sencillo 15a, 5601-2w","Apagador Decora Sencillo 15a, 5601-2w. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,63.49,,,,,,,,,,,,,
LEVI0030,simple,"Apagador Decora Sencillo 15a, 560302w","Apagador Decora Sencillo 15a, 560302w. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,77.05,,,,,,,,,,,,,
ILV0005,simple,Apagador Doble Brushed Metal Negro,"Apagador Doble Brushed Metal Negro. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,99.0,,,,,,,,,,,,,
ILV0002,simple,Apagador Doble Policarbonato Metal Blanco,"Apagador Doble Policarbonato Metal Blanco. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,83.25,,,,,,,,,,,,,
LEVI0029,simple,Apagador Sencillo 1p 15a 120v Blanco 14512w,"Apagador Sencillo 1p 15a 120v Blanco 14512w. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,32.88,,,,,,,,,,,,,
ILV0004,simple,Apagador Sencillo Brushed Metal Negro,"Apagador Sencillo Brushed Metal Negro. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,78.75,,,,,,,,,,,,,
ILV0001,simple,Apagador Sencillo Policarbonato Metal Blanco,"Apagador Sencillo Policarbonato Metal Blanco. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,62.25,,,,,,,,,,,,,
1451ICP,simple,Apagador Tl 15a 120v Leviton,"Apagador Tl 15a 120v Leviton. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,42.35,,,,,,,,,,,,,
ILV0006,simple,Apagador Triple Brushed Metal Negro,"Apagador Triple Brushed Metal Negro. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,120.75,,,,,,,,,,,,,
ILV0003,simple,Apagador Triple Policarbonato Metal Blanco,"Apagador Triple Policarbonato Metal Blanco. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Instalación,,105.0,,,,,,,,,,,,,
AISL0001,simple,Apartarrayo Tipo Riser Pole 12 Kv,"Apartarrayo Tipo Riser Pole 12 Kv. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",MATERIAL ELÉCTRICO > Control y protección,,1401.12,,,,,,,,,,,,,
ARAC0005,simple,"Arandela Acero Inoxidable Plana 1/2""","Arandela Acero Inoxidable Plana 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,3.68,,,,,,,,,,,,,
ARAC0006-BASE,variable,Arandela Acero Inoxidable Presion,"Arandela Acero Inoxidable Presion 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,,,Medida,"1/2 pulg, 1/4 pulg, 3/8 pulg, 5/8 pulg",1.0,1.0,Marca,,1.0,1.0,,,,
ARAC0006,variation,Arandela Acero Inoxidable Presion - 1/2 pulg,"Arandela Acero Inoxidable Presion 1/2"". Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,2.68,id:ARAC0006-BASE,Medida,1/2 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
ARAC0007,variation,Arandela Acero Inoxidable Presion - 1/4 pulg,"Arandela Acero Inoxidable Presion 1/4. Producto versátil, práctico y de excelente calidad. Diseñado para ofrecer los mejores resultados en su categoría.",FERRETERÍA > Ferretería general,,3.65,id:ARAC0006-BASE,Medida,1/4 pulg,1.0,1.0,Marca,,1.0,1.0,,,,
